content,temp_list,content_length
received items not the same as advertised. theey are thin and very light. quality not satisfactory.. size slightly smaller. what a waste...although its cheap.,"['Received', 'items', 'not', 'the', 'same', 'as', 'advertised.', 'Theey', 'are', 'thin', 'and', 'very', 'light.', 'Quality', 'not', 'satisfactory..', 'Size', 'slightly', 'smaller.', 'What', 'a', 'waste...although', 'its', 'cheap.']",159
the item not as advertised,"['the', 'item', 'not', 'as', 'advertised']",26
dalam gambar tebal sudah terima selipar tipis..boleh utk kgunaan dalam ruma kalau utk jalan xtahan lama,"['dalam', 'gambar', 'tebal', 'dah', 'terima', 'selipar', 'tipis..boleh', 'utk', 'kgunaan', 'dlm', 'ruma', 'kalau', 'utk', 'jalan', 'xtahan', 'lama']",99
"order green dapat oren, sad.","['order', 'green', 'dapat', 'Oren,', 'sad.']",28
oder black and green but arrived black and yellow thumbs_down,"['oder', 'black', 'and', 'green', 'but', 'arrived', 'black', 'and', 'yellow', '👎']",51
"material:it not as good as picture. does it a little same？no! my foot is size, and i bought -.","['Material:it', 'not', 'as', 'good', 'as', 'picture.', 'does', 'it', 'a', 'little', 'same？no!', 'my', 'foot', 'is', '39', 'size,', 'and', 'I', 'bought', '40-41sige.']",105
很很薄很薄pensive_face,['很很薄很薄😔'],6
produk langsung tak sama dengan gambar yang diiklankan...... nipis macam selipar yang sudah dipakai,"['produk', 'langsung', 'tak', 'sama', 'dengan', 'gambar', 'yang', 'diiklankan......', 'nipis', 'macam', 'selipar', 'yang', 'dah', 'dipakai']",97
"mntak satu hitam and satu kelabu, tetapi yang dpt ye hitam thumbs_down","['mntak', 'satu', 'hitam', 'n', 'satu', 'kelabu,', 'tp', 'yg', 'dpt', 'ye', 'dua2', 'hitam', '👎']",57
order hitam so kelabu so tetapi yang sampai hitam.. 🥴,"['order', 'hitam', 'so', 'kelabu', 'so', 'tp', 'yg', 'smpai', 'dua2', 'hitam..', '🥴']",51
not happy with seller. purchased orange and black. they send yellow and grey. 🤨🤨🤨pouting_facepouting_facepouting_facepouting_facepouting_facepouting_facepouting_face,"['Not', 'happy', 'with', 'seller.', 'Purchased', 'Orange', 'and', 'Black.', 'They', 'send', 'Yellow', 'and', 'Grey.', '🤨🤨🤨😡😡😡😡😡😡😡']",88
"size:true to size . design:design for light blue color slightly different, soles not as thick as other colours thus less comfortable.","['Size:true', 'to', 'size', '.', 'Design:Design', 'for', 'light', 'blue', 'color', 'slightly', 'different,', 'soles', 'not', 'as', 'thick', 'as', 'other', 'colours', 'thus', 'less', 'comfortable.']",133
nipis... tak sperti beli sebelum nie....beli sebelum nie sama seperti gambar... tetapi yang kali nie dapat lain dari gambarrelieved_facerelieved_face,"['nipis...', 'tak', 'sperti', 'beli', 'sebelum', 'nie....beli', 'sebelum', 'nie', 'sama', 'seperti', 'gambar...', 'tapi', 'yang', 'kali', 'nie', 'dapat', 'lain', 'dari', 'gambar😌😌']",123
bought pink colour but received in white colour. even the order stated in pink colour. is a very careless supplier.,"['Bought', 'pink', 'colour', 'but', 'received', 'in', 'white', 'colour.', 'Even', 'the', 'order', 'stated', 'in', 'pink', 'colour.', 'Is', 'a', 'very', 'careless', 'supplier.']",116
u sent me a differ design slipper. very funny. i wont buy from you already.,"['u', 'sent', 'me', 'a', 'differ', 'design', 'slipper.', 'Very', 'Funny.', 'I', 'wont', 'buy', 'from', 'you', 'already.']",75
i ordered yellow but received this colour. i need refund,"['I', 'ordered', 'yellow', 'but', 'received', 'this', 'colour.', 'I', 'need', 'refund']",56
dishonest seller. pls do not get cheated. item delivered is different from advertised. not thick slippers like shown. light and thin.,"['Dishonest', 'seller.', 'Pls', 'do', 'not', 'get', 'cheated.', 'Item', 'delivered', 'is', 'different', 'from', 'advertised.', 'Not', 'thick', 'slippers', 'like', 'shown.', 'Light', 'and', 'thin.']",133
-fast delivery - bad quality - can’t be use in outdoor just received and use it one time. just spoiled it. not steady.,"['-Fast', 'delivery', '-', 'bad', 'quality', '-', 'can’t', 'be', 'use', 'in', 'outdoor', 'Just', 'received', 'and', 'use', 'it', 'one', 'time.', 'Just', 'spoiled', 'it.', 'Not', 'steady.']",122
what a poor quality not soft at all thumbs_down,"['what', 'a', 'poor', 'quality', 'not', 'soft', 'at', 'all', '👎']",37
i'm ordered -..but seller sent wrong size to me -..& ignore my message.. terrible,"[""I'm"", 'ordered', 'size38-39..but', 'seller', 'sent', 'wrong', 'size', 'to', 'me', 'size40-41..&', 'ignore', 'my', 'message..', 'terrible']",97
i bought the shoes according to the size chart given. but in the end this is what i get. my size is us .,"['I', 'bought', 'the', 'shoes', 'according', 'to', 'the', 'size', 'chart', 'given.', 'But', 'in', 'the', 'end', 'this', 'is', 'what', 'I', 'get.', 'My', 'size', 'is', 'us', '10.']",106
picture show different blue and send different blue disappointed frowning_face️,"['picture', 'show', 'different', 'blue', 'and', 'send', 'different', 'blue', 'disappointed', '☹️']",67
